,Comment,Tag(s),,
Facility Manager,Nothing is straight forward or simple.  Revamp whole system,Usability,"platform, client",Negative
Technician,"Now that I'm used to it, it is somewhat easy to use. It was somewhat hard to learn, and I still learn new tricks and features all the time. I NEED it to do my job. It has been pretty solid lately, not crashing or locking up. For a while there, I was copying every longer comment, just  in case it decided to give me an error message.",Usability,"WO, PM",Negative
Client/Customer,"Open WOs in seperate tabs of browser (chrome, edge) will save a lot of time. ",Usability,dispatch,Negative
System Administrator,Page times out to soon. Also more room in scope of work would be very helpful.,Usability,login,Negative
Facility Coordinator,Placing fmPilot on the V dashboard would really make it more convenient. ,Usability,"WO, search",Negative
Facility Manager,Please make more user friendly!,Usability,"Request, WO",Negative
Technician,"Put a limiter on how many times a day it's going to ask the same user for feedback on the program. I'm sure this survey is going to produce highly accurate statistics to base changes on with all the duplicative results, but perhaps allowing one submission per person would be an alternative approach.",Usability,"Attachments, PO",Negative
Facility Manager,Putting up the financial information - if that could be made easier / more fluid; that would help.,Usability,"WO, PO",Negative
Technician,Remove the additional OK buttons and be allowed to conduct multiple tasks within the same frame or screen ,Usability,,Neutral
Client/Customer,Reports generating are not user friendly. ,Usability,mobile,Negative
Technician,"Scrap it and start over.  Model Service Channel.  FMPilot is clumsy, especially with building a quote.  Also, service provider should be able to submit a quote/RFP without needing to wait for a work order from the client.   This is one of the worst client websites available.",Usability,"WO, priority",Negative
Technician,Se traba seguido,Usability,Request,Negative
Customer Service Rep,Search for work orders needs to be narrowed down.,Usability,,Negative
Technician,searching for stores workorders when you don't have the WO#. It should pull all orders whether open or closed.,Usability,"WO, PM",Positive
System Administrator,Searching is awkward and slow,Usability,login,Negative
Facility Manager,"Seems like the program hasn't been updated since the 90's, it looks very old and not user-friendly",Usability,Attachments,Negative
Facility Manager,"self generating work orders are over complicated being that you have to put your information in several times instead of a quick problem/ solution work order with labor time.
",Usability,"iMFM, WO, Desktop",Neutral
Technician,ServiceInsight is a great tool for collecting information and seemingly for dispatching work and tracking open tasks.  The system seems a bit cumbersome when trying to look for specific work order/PM's because of the limited screen layout. ,Usability,"Desktop, mobile",Negative
Facility Coordinator,SI could be more user-friendly in part of asset database changes - bulk modifications etc,Usability,"WO, PO",Negative
Technician,SI7 needs to be more user friendly. It takes a lot of steps to get to where you need to go. If you can lessen the steps to say get to reports or PM'S to adjust it would be easier. ,Usability,,Positive
Technician,"Simplify the work order to invoice and propose. too many steps. We work with SMS assist, and it is easy compared to yours. Has all work orders, tabs for communication, pictures, invoice and proposal on each.",Usability,,Positive
Client/Customer,"Slow, difficult to navigate",Usability,WO,Negative
Technician,So far very easy to navigate no issues ,Usability,Reporting,Negative
Facility Coordinator,"Some of the sub-categories are not obvious, such as ""other services"", etc. when trying to find the issue you're trying to address.  Meeting room set-up should be easy to find, etc.",Usability,Problem codes,Negative
Facility Manager,somehow making history searches easier.,Usability,"WO, Reporting",Negative
